Server,Domain Name,Media Server,Group,Schedule,Client,Job,Proxy,Status,Error Code,Error Code Summary,Status Code,Status Code Summary,Level,Size (GB),Files,Num Files Not Backed Up,Started,Finished,Duration (hour),Throughput (MB/sec),Retention (week),Expires,Owner,Effective Path,Plugin Name,Bytes Modified Sent (GB),Bytes Modified Not Sent (B),Parent Job Id
zgbleb01.otis.com,,ZGBLEB01.otis.com,Catalog_Full,Full,zgbleb01.otis.com,C:\Program Files\Veritas\NetBackupDB\staging\DARS_DATA.db,,success,0,,,,Full,0.226,18,,12/26/21 6:00 AM,12/26/21 6:02 AM,2 minutes 39 seconds,1.453,4 weeks 3 days,1/26/22 6:00 AM,SYSTEM,,Catalog Backup,,,22591
zgbleb01.otis.com,,ZGBLEB01.otis.com,Catalog_Full,Full,zgbleb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,1.637,6628,,12/26/21 6:03 AM,12/26/21 6:05 AM,2 minutes 28 seconds,11.324,4 weeks 3 days,1/26/22 6:03 AM,root,,Catalog Backup,,,22591
zgbleb01.otis.com,,ZGBLEB01.otis.com,Catalog_Full,,zgbleb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0,,,12/26/21 5:59 AM,12/26/21 6:05 AM,6 minutes 4 seconds,0,4 weeks 3 days,1/26/22 6:00 AM,root,,Catalog Backup,,,
zhubpb01.otis.com,,ZHUBPB01.otis.com,Catalog_Full,Full,zhubpb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,2.104,6008,,12/26/21 7:00 AM,12/26/21 7:01 AM,1 minute 17 seconds,27.974,4 weeks 3 days,1/26/22 7:00 AM,root,,Catalog Backup,,,24172
zhubpb01.otis.com,,ZHUBPB01.otis.com,Catalog_Full,Full,zhubpb01.otis.com,D:\Program Files\Veritas\NetBackupDB\staging\DARS_DATA.db,,success,0,,,,Full,0.226,18,,12/26/21 7:00 AM,12/26/21 7:00 AM,18 seconds,12.833,4 weeks 3 days,1/26/22 7:00 AM,SYSTEM,,Catalog Backup,,,24172
zhubpb01.otis.com,,ZHUBPB01.otis.com,Catalog_Full,,zhubpb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0,,,12/26/21 6:59 AM,12/26/21 7:02 AM,2 minutes 16 seconds,0,4 weeks 3 days,1/26/22 7:00 AM,root,,Catalog Backup,,,
zitcpb02.otis.com,,zitcpb02.otis.com,Catalog_Full_Backup,Catalog_Full,zitcpb02.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,4.401,3343,,12/26/21 7:01 AM,12/26/21 7:03 AM,1 minute 54 seconds,39.191,2 weeks 12 seconds,1/9/22 7:02 AM,root,,Catalog Backup,,,1995
zitcpb02.otis.com,,zitcpb02.otis.com,Catalog_Full_Backup,Catalog_Full,zitcpb02.otis.com,H:\Program Files\Veritas\NetBackupDB\staging\DARS_DATA.db,,success,0,,,,Full,0.226,18,,12/26/21 7:00 AM,12/26/21 7:01 AM,1 minute 37 seconds,2.381,2 weeks 12 seconds,1/9/22 7:00 AM,SYSTEM,,Catalog Backup,,,1995
zitcpb02.otis.com,,zitcpb02.otis.com,Catalog_Full_Backup,,zitcpb02.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0,,,12/26/21 6:59 AM,12/26/21 7:03 AM,4 minutes 8 seconds,0,2 weeks 12 seconds,1/9/22 7:00 AM,root,,Catalog Backup,,,
znlatb01.otis.com,,ZNLATB01.otis.com,Catalog_Full,Full,znlatb01.otis.com,C:\Program Files\Veritas\NetBackupDB\staging\DARS_DATA.db,,success,0,,,,Full,0.231,18,,12/26/21 7:00 AM,12/26/21 7:02 AM,2 minutes 40 seconds,1.481,4 weeks 3 days,1/26/22 7:00 AM,SYSTEM,,Catalog Backup,,,13157
znlatb01.otis.com,,ZNLATB01.otis.com,Catalog_Full,Full,znlatb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,13.243,7189,,12/26/21 7:02 AM,12/26/21 7:11 AM,8 minutes 48 seconds,25.684,4 weeks 3 days,1/26/22 7:03 AM,root,,Catalog Backup,,,13157
znlatb01.otis.com,,ZNLATB01.otis.com,Catalog_Full,,znlatb01.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0,,,12/26/21 6:59 AM,12/26/21 7:11 AM,11 minutes 58 seconds,0,4 weeks 3 days,1/26/22 7:00 AM,root,,Catalog Backup,,,
zplwzb02.otis.com,,zplwzb02.otis.com,Catalog_Full,Full,zplwzb02.otis.com,C:\Program Files\Veritas\NetBackupDB\staging\DARS_DATA.db,,success,0,,,,Full,0.229,18,,12/26/21 8:00 AM,12/26/21 8:02 AM,2 minutes 52 seconds,1.366,2 weeks 12 seconds,1/9/22 8:00 AM,SYSTEM,,Catalog Backup,,,13618
zplwzb02.otis.com,,zplwzb02.otis.com,Catalog_Full,Full,zplwzb02.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,1.002,6273,,12/26/21 8:03 AM,12/26/21 8:04 AM,54 seconds,19,2 weeks 12 seconds,1/9/22 8:03 AM,root,,Catalog Backup,,,13618
zplwzb02.otis.com,,zplwzb02.otis.com,Catalog_Full,,zplwzb02.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0,,,12/26/21 7:59 AM,12/26/21 8:04 AM,4 minutes 19 seconds,0,2 weeks 12 seconds,1/9/22 8:00 AM,root,,Catalog Backup,,,
zplwzb02.otis.com,,zplwzb02.otis.com,Otis_Servers,Full,oplwza07.otis.com,C:\,,success,1,,,,Full,27.766,88898,,12/25/21 9:00 AM,12/25/21 9:10 AM,10 minutes 49 seconds,43.809,4 weeks 3 days,1/25/22 9:00 AM,root,,Backup,,,13588
