"Specification","Session Id","Mode","BkpType","Client","Mount Point","Object Status","End Time"
"Oracle8 CDC_BKP_CAT_DG1_ARC_ST_FULL","2022/08/23-101","full","Completed","tcldvgrdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:45:44 AM"
"Oracle8 CDC_BKP_CAT_STRLGDV_RAC_ARC_ST_FULL","2022/08/23-102","full","Completed","tcldvracn1a.delphidrive.com","NA","Oracle8","8/23/2022 5:46:20 AM"
"Oracle8 CDC_BKP_CAT_STRLGDV_RAC_ARC_ST_FULL","2022/08/23-102","full","Completed","tcldvracn1a.delphidrive.com","NA","Oracle8","8/23/2022 5:46:20 AM"
"Oracle8 CDC_BKP_CAT_STRLGDV_RAC_ARC_ST_FULL","2022/08/23-102","full","Completed","tcldvracn1a.delphidrive.com","NA","Oracle8","8/23/2022 5:46:20 AM"
"Oracle8 CDC_BKP_CAT_SG1_ARC_ST_FULL","2022/08/23-103","full","Completed","tclsbgrdbc.delphidrive.com","NA","Oracle8","8/23/2022 5:45:49 AM"
"Oracle8 CDC_BKP_CAT_DV1_ARC_ST_FULL","2022/08/23-104","full","Completed","tcudvr3dbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:51 AM"
"Oracle8 CDC_BKP_CAT_DV1_ARC_ST_FULL","2022/08/23-104","full","Completed","tcudvr3dbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:51 AM"
"Oracle8 CDC_BKP_CAT_B2BDEV_ARC_ST_FULL","2022/08/23-105","full","Completed","tcldvibdbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:02 AM"
"Oracle8 CDC_BKP_CAT_B2BDEV_ARC_ST_FULL","2022/08/23-105","full","Completed","tcldvibdbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:02 AM"
"Oracle8 CDC_BKP_CAT_B2BDEV_ARC_ST_FULL","2022/08/23-105","full","Completed","tcldvibdbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:02 AM"
"Oracle8 CDC_BKP_CAT_IIBST1_ARC_ST_FULL","2022/08/23-106","full","Completed","tclqaibdbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:07 AM"
"Oracle8 CDC_BKP_CAT_IIBST1_ARC_ST_FULL","2022/08/23-106","full","Completed","tclqaibdbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:07 AM"
"Oracle8 CDC_BKP_CAT_IIBST1_ARC_ST_FULL","2022/08/23-106","full","Completed","tclqaibdbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:07 AM"
"Oracle8 CDC_BKP_CAT_DP1_ARC_ST_FULL","2022/08/23-107","full","Completed","tcldvepdbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:05 AM"
"Oracle8 CDC_BKP_CAT_DP1_ARC_ST_FULL","2022/08/23-107","full","Completed","tcldvepdbc.delphidrive.com","NA","Oracle8","8/23/2022 6:01:05 AM"
